content_id,client_id,content_type,main_intent,impressions_90d,clicks_90d,clicks_last_30d,clicks_prev_30d,ctr,avg_position,days_since_last_update,model_score,baseline_score,rank,reason_codes,recommended_action
content_8f1409b2674e,client_8527a891e2,keyword article,informational,209,0,0,0,0.0,20.0,104,0.8822884242893765,0.0,76,visible in search,Investigate
content_d248f78edf97,client_f369cb89fc,keyword article,informational,967,0,0,0,0.0,7.7,20,0.881266941923835,0.0,77,visible in search; meaningful impression volume,Investigate
content_ef81d5fcdf1d,client_f369cb89fc,keyword article,informational,1495,1,1,0,0.07,15.3,20,0.8801092099535837,-7.310550158534422,78,visible in search; meaningful impression volume,Investigate
content_b9b230d52cfa,client_4e07408562,keyword article,informational,1078,0,0,0,0.0,31.6,104,0.8782536955054621,0.0,79,meaningful impression volume,Investigate
content_aeb3c0da92cc,client_8527a891e2,keyword article,informational,329,1,1,0,0.3,11.2,104,0.877898608592315,-5.799092654460526,80,visible in search,Investigate
content_866a6f5de5e2,client_4e07408562,keyword article,commercial,488,0,0,0,0.0,31.3,104,0.8770600082182918,0.0,81,model-ranked opportunity,Investigate
content_9b28cf5ae4f3,client_f369cb89fc,keyword article,transactional,1620,1,0,0,0.06,1.1,106,0.8765890286408496,0.0,82,visible in search; meaningful impression volume,Investigate
content_35cc533f1bcb,client_f369cb89fc,keyword article,commercial,1285,2,0,1,0.16,2.9,8,0.8764798604883015,3.5796459523987822,83,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_13f239ae855d,client_f369cb89fc,keyword article,informational,74,0,0,0,0.0,7.8,8,0.8756202440827053,0.0,84,visible in search,Investigate
content_fbbacf50108d,client_8527a891e2,keyword article,informational,1130,1,0,0,0.09,10.0,92,0.8755141556433671,0.0,85,visible in search; meaningful impression volume,Investigate
content_bc09827ad055,client_f369cb89fc,keyword article,informational,607,1,0,1,0.16,4.6,8,0.8750153670932886,3.2050874409830836,86,recent click decline; visible in search,CTR/content review
content_06b02c9b01a1,client_f369cb89fc,keyword article,informational,328,0,0,0,0.0,5.3,20,0.8736351602353931,0.0,87,visible in search,Investigate
content_4d9f36001f06,client_8527a891e2,keyword article,informational,3369,1,0,0,0.03,13.2,104,0.8736155648203697,0.0,88,visible in search; meaningful impression volume,Investigate
